,facility,address,city,zip_cd,num_at_address,max_seats,phone,risk_level,last_inspect_date,inspect_score,cat,closed_est,year
51,1632THAI SILK EXPRESS,1260 S SOTO ST,LOS ANGELES,90023,6,30,+13232684695,3,2016-09-23,93.0,,0,2016
52,1642,1642 W TEMPLE ST,LOS ANGELES,90026,1,30,+1nan,1,2015-05-01,96.0,,1,2015
58,1810 RESTAURANT,105 W 9TH ST,LOS ANGELES,90015,1,60,+12136231810,3,2016-09-26,90.0,,0,2016
59,1880 CAFE,1880 CENTURY PARK E,LOS ANGELES,90067,2,30,+1nan,2,2016-10-13,90.0,,0,2016
62,1902,6541 HOLLYWOOD BLVD,LOS ANGELES,90028,7,150,+13234651902,2,2015-12-17,91.0,,1,2015
63,1ST STREET BURGERS,3737 E 1ST ST,LOS ANGELES,90063,1,30,+1nan,3,2016-09-28,93.0,,0,2016
64,2 AGUILAS BAKERY,5945 WHITTIER BLVD,LOS ANGELES,90022,2,30,+13237215784,2,2013-11-18,91.0,,1,2013
67,2 FOR 1 PIZZA CO,4707 S BROADWAY,LOS ANGELES,90037,1,30,+13232341145,2,2016-12-07,94.0,,0,2016
68,2 FOR 1 PIZZA COMPANY,1905 S WESTERN AVE,LOS ANGELES,90018,4,30,+1nan,3,2017-01-12,94.0,,0,2017
72,2040 CAFE,2040 HILLHURST AVE,LOS ANGELES,90027,1,30,+1nan,2,2016-10-06,97.0,,0,2016
82,23RD ST CAFE,936 W 23RD ST,LOS ANGELES,90007,2,60,+12137491593,3,2016-12-13,96.0,,0,2016
83,23RD ST. CAFE,936 W 23RD ST,LOS ANGELES,90007,2,60,+1nan,3,2015-12-01,99.0,,1,2015
84,25 DEGREES,7000 HOLLYWOOD BLVD,LOS ANGELES,90028,5,60,+1nan,3,2016-10-17,94.0,,0,2016
86,26 BY SHILOHS,8657 W PICO BLVD,LOS ANGELES,90035,2,150,+16268273802,3,2014-09-18,90.0,,1,2014
87,2ND BASEMENT KITCHEN,114 E 2ND ST,LOS ANGELES,90012,3,150,+12136261507,3,2016-08-24,98.0,,0,2016
88,2ND FLOOR LA,865 S VERMONT AVE,LOS ANGELES,90005,2,151,+12133883880,3,2016-08-09,90.0,,0,2016
95,3 BOYS BURGER,8101 S CENTRAL AVE,LOS ANGELES,90001,2,60,+13235899006,3,2014-03-20,93.0,,1,2014
96,3 DOG CANTINA AND COMMISSION BAR,1615 N CAHUENGA BLVD,LOS ANGELES,90028,1,151,+13234651750,3,2014-07-31,91.0,,1,2014
102,3 WORLDS CAFE,3310 S CENTRAL AVE,LOS ANGELES,90011,1,30,+1nan,1,2015-01-20,90.0,,1,2015
106,320 SOUTH A WINE LOUNGE,320 S LA BREA AVE,LOS ANGELES,90036,2,60,+13239329500,3,2013-12-12,94.0,,1,2013
108,326 BEER AND WINE,6333 W 3RD ST,LOS ANGELES,90036,50,30,+1nan,1,2016-02-25,95.0,,0,2016
109,33 TAPS,6263 HOLLYWOOD BLVD,LOS ANGELES,90028,1,151,+13239621400,3,2016-09-09,93.0,,0,2016
110,33 TAPS SILVERLAKE,3725 W SUNSET BLVD,LOS ANGELES,90026,2,150,+13233387777,3,2016-12-05,93.0,,0,2016
117,3RD ST MARKET & DELI,4600 E 3RD ST,LOS ANGELES,90022,1,30,+1nan,3,2016-07-29,84.0,,0,2016
119,4 AMIGOS,12725 S VERMONT AVE,LOS ANGELES,90044,1,30,+1nan,3,2016-09-14,96.0,,0,2016
120,4 CAMINOS RESTAURANT,1614 1/2 W 6TH ST,LOS ANGELES,90017,1,30,+12134341899,3,2016-11-08,83.0,,0,2016
123,4 PLAY,2238 COTNER AVE,LOS ANGELES,90064,1,60,+1nan,2,2017-01-12,93.0,,0,2017
124,4 SEASONS SNACK SHOP,2736 W PICO BLVD,LOS ANGELES,90006,1,30,+1nan,2,2016-12-28,92.0,,0,2016
128,4100 BAR,1087 MANZANITA ST,LOS ANGELES,90029,1,30,+1nan,1,2016-08-30,96.0,,0,2016
131,435 NORTH FAIRFAX,435 N FAIRFAX AVE,LOS ANGELES,90036,1,60,+1nan,3,2016-12-28,90.0,,0,2016
132,448 BASEMENT BAR,448 HILL ST,LOS ANGELES,90013,1,150,+12136222929,3,2016-11-30,98.0,,0,2016
135,4TH STREET DELI,320 W 4TH ST,LOS ANGELES,90013,2,150,+12133469906,2,2015-04-17,95.0,,1,2015
136,4TH STREET DELI#2,300 S SPRING ST,LOS ANGELES,90013,2,150,+12136802742,3,2014-06-30,92.0,,1,2014
141,5 KS MEXICAN GRILL,3603 S SAN PEDRO ST,LOS ANGELES,90011,3,60,+13232356069,3,2014-08-12,96.0,,1,2014
142,5 LINE RESTAURANT,2136 W COLORADO BLVD,LOS ANGELES,90041,2,60,+13232179593,2,2016-06-21,95.0,,0,2016
143,5 LOAVES & 2 FISHES,5088 VALLEY BLVD,LOS ANGELES,90032,3,30,+12135706730,3,2015-04-01,86.0,,1,2015
145,5 STAR MARKET,2700 W VERNON AVE,LOS ANGELES,90008,3,30,+13233451900,3,2016-09-06,92.0,,0,2016
146,5- STAR- MARKET,2700 W VERNON AVE,LOS ANGELES,90008,3,30,+13232910334,3,2016-02-25,97.0,,0,2016
151,505 S FLOWER ST COMMON,505 S FLOWER ST,LOS ANGELES,90071,19,30,+1nan,1,2015-03-09,100.0,,1,2015
154,54 TWENTY,5420 HOLLYWOOD BLVD,LOS ANGELES,90027,2,60,+13234637171,3,2016-05-11,95.0,,0,2016
155,55 BUNGEE RAMEN,1147 S WESTERN AVE,LOS ANGELES,90006,2,60,+13236417063,3,2016-05-19,95.0,,0,2016
156,55 DEGREE WINE,3111 GLENDALE BLVD,LOS ANGELES,90039,3,30,+1nan,2,2015-10-08,95.0,,1,2015
157,55 TOFUMONKEY,3250 W OLYMPIC BLVD,LOS ANGELES,90010,21,30,+13238705388,3,2016-09-29,90.0,,0,2016
160,59TH LEX KITCHEN,10250 SANTA MONICA BLVD,LOS ANGELES,90067,25,60,+1nan,3,2016-02-26,90.0,,0,2016
161,5KS MEXICAN GRILL/EL POTRILLO CAFE,210 N VIRGIL AVE,LOS ANGELES,90004,2,30,+12137387778,3,2016-12-13,95.0,,0,2016
162,5TH AVE MARKET,2700 W VERNON AVE,LOS ANGELES,90008,3,30,+13232910334,3,2014-01-07,91.0,,1,2014
163,5TH STREET MARKET,116 E 5TH ST,LOS ANGELES,90013,2,30,+12133657400,2,2015-02-18,92.0,,1,2015
166,606 HILL DELI,606 HILL ST,LOS ANGELES,90014,1,30,+1nan,2,2015-01-27,96.0,,1,2015
167,6200 WILSHIRE CAFE,6200 WILSHIRE BLVD,LOS ANGELES,90048,1,30,+1nan,2,2014-07-24,90.0,,1,2014
174,7 STAR COFFEE,421 W 7TH ST,LOS ANGELES,90014,1,30,+1nan,1,2016-09-13,92.0,,0,2016
175,7 STAR COFFEE,701 S BROADWAY UNIT UNIT,LOS ANGELES,90014,1,30,+1nan,1,2016-07-07,98.0,,0,2016
176,7 STARS DONUTS AND SANDWICH,1754 W SLAUSON AVE,LOS ANGELES,90047,3,30,+12139094295,2,2016-07-25,93.0,,0,2016
178,7-STAR COFFEE,650 S HILL ST,LOS ANGELES,90014,3,30,+1nan,1,2016-06-21,99.0,,0,2016
179,71 ABOVE -RESTAURANT,633 W 5TH ST,LOS ANGELES,90071,6,151,+1nan,3,2016-09-06,96.0,,0,2016
182,77 KENTUCKY,698 S VERMONT AVE,LOS ANGELES,90005,9,60,+12132632686,3,2016-09-06,92.0,,0,2016
184,8 ESPRESSOS,11901 SANTA MONICA BLVD,LOS ANGELES,90025,3,30,+13104794533,1,2016-09-06,95.0,,0,2016
187,800  DEGREES NEAPOLITAN PIZZERIA,1539 N VINE ST,LOS ANGELES,90028,1,150,+13239522487,3,2016-11-02,90.0,,0,2016
188,800 DEGREE F PIZZA,800 WILSHIRE BLVD,LOS ANGELES,90017,1,60,+1nan,3,2016-11-17,95.0,,0,2016
189,800 DEGREES NEAPOLITAN PIZZE,10889 LINDBROOK DR,LOS ANGELES,90024,1,150,+19242395010,3,2016-10-11,93.0,,0,2016
191,800 DEGREES PIZZERIA,380 WORLD WAY T31,LOS ANGELES,90045,1,60,+13102589403,3,2017-01-04,91.0,,0,2017
194,85 CELSIUS BAKERY CAFE,700 WILSHIRE BLVD,LOS ANGELES,90010,1,60,+1nan,2,2016-06-14,93.0,,0,2016
200,88 CHINESE & SUSHI,418 1/2 N FAIRFAX AVE,LOS ANGELES,90036,1,30,+13238521638,3,2016-11-29,96.0,,0,2016
204,88 SLT,2520 W 8TH ST 109,LOS ANGELES,90057,1,30,+1nan,3,2016-11-15,84.0,,0,2016
208,8GAH SOONDAE,2703 W 8TH ST,LOS ANGELES,90005,1,60,+1nan,3,2016-08-31,90.0,,0,2016
210,90 WEST LOUNGE,12740 CULVER BLVD,LOS ANGELES,90066,5,30,+13108214000,1,2016-06-22,93.0,,0,2016
212,901 CLUB,2902 S FIGUEROA ST,LOS ANGELES,90007,1,60,+1nan,2,2016-11-15,90.0,,0,2016
216,9021 PHO,7950 W SUNSET BLVD,LOS ANGELES,90046,3,60,+13236569021,3,2016-07-20,97.0,,0,2016
220,9TH ST PIZZA,231 E 9TH ST,LOS ANGELES,90015,1,30,+1nan,3,2014-08-12,97.0,,1,2014
221,9TH STREET & PASTA,227 E 9TH ST,LOS ANGELES,90014,2,30,+12136277798,3,2016-12-06,91.0,,0,2016
229,A &T BURGERS,9401 S AVALON BLVD,LOS ANGELES,90003,1,30,+1nan,2,2016-12-13,97.0,,0,2016
231,A AND T BURGERS,11318 S AVALON BLVD,LOS ANGELES,90059,1,30,+1nan,3,2016-11-07,97.0,,0,2016
233,A B C EXPRESS,1822 W 7TH ST,LOS ANGELES,90057,1,60,+12133534858,3,2016-11-23,85.0,,0,2016
236,A BEAUTFUL LIFE ESSERT BOUTIQUE,216 SPRING ST,LOS ANGELES,90017,1,30,+12132004140,1,2016-02-04,96.0,,0,2016
237,A CAFE,4001 WILSHIRE BLVD,LOS ANGELES,90010,3,60,+1nan,3,2016-07-06,94.0,,0,2016
239,A DIVINE H2O,11701 WILSHIRE BLVD,LOS ANGELES,90025,4,30,+13107704771,2,2016-10-07,95.0,,0,2016
242,A FISH KEBABA,3007 S CENTRAL AVE,LOS ANGELES,90011,2,30,+13104676501,3,2014-06-17,98.0,,1,2014
244,A MAGIC FOREST,12512 W WASHINGTON BLVD,LOS ANGELES,90066,1,30,+13103979400,1,2015-12-23,96.0,,1,2015
248,A MI JAPANESE RESTAURANT,1051 BROXTON AVE,LOS ANGELES,90024,1,151,+1nan,3,2016-10-17,90.0,,0,2016
255,A VOTRE SANTE/SANTE BISTRO,13016 SAN VICENTE BLVD,LOS ANGELES,90049,1,150,+1nan,3,2016-08-16,99.0,,0,2016
257,A WON JAPANASE RESTAURANT,913 S VERMONT AVE,LOS ANGELES,90006,1,150,+1nan,3,2016-08-09,90.0,,0,2016
269,A-1 BBQ AND FOOD TO GO,1485 W SUNSET BLVD,LOS ANGELES,90026,1,30,+1nan,3,2015-12-16,100.0,,1,2015
270,A-1 BURGERS,2915 W VERNON AVE,LOS ANGELES,90008,1,30,+1nan,2,2016-10-20,97.0,,0,2016
272,A-1 FOOD COURT,1489 W SUNSET BLVD,LOS ANGELES,90026,1,30,+1nan,2,2014-07-03,99.0,,1,2014
273,A-FRAME,12565 W WASHINGTON BLVD,LOS ANGELES,90066,1,150,+13103987702,3,2016-09-20,95.0,,0,2016
280,AA CHINESE EXPRESS FAST FOOD,5101 S AVALON BLVD,LOS ANGELES,90011,1,30,+1nan,3,2016-07-12,95.0,,0,2016
281,AA REGIONAL ADMIRALS CLUB,6022 AVION DR,LOS ANGELES,90045,2,60,+1nan,2,2016-10-27,91.0,,0,2016
284,AATB-ALL ABOUT THE BRAD,10250 SANTA MONICA BLVD,LOS ANGELES,90067,25,60,+13107792282,3,2016-03-28,85.0,,0,2016
290,ABBYS DINER,4862 EAGLE ROCK BLVD,LOS ANGELES,90041,1,30,+13233510269,3,2016-09-07,94.0,,0,2016
292,ABC CHINESE FOOD,100 W 7TH ST,LOS ANGELES,90014,1,30,+1nan,3,2016-09-27,92.0,,0,2016
293,ABC COMMISSARY,4151 PROSPECT AVE,LOS ANGELES,90027,1,150,+13236714500,3,2017-01-09,95.0,,0,2017
296,ABC DONUTS,3027 N SAN FERNANDO RD UNIT 103,LOS ANGELES,90065,1,30,+13232551230,2,2016-08-02,93.0,,0,2016
297,ABC DONUTS,4555 E 3RD ST,LOS ANGELES,90022,1,30,+1nan,2,2016-11-21,96.0,,0,2016
298,ABC DONUTS,761 S UNION AVE,LOS ANGELES,90017,1,30,+12134845362,2,2014-11-18,93.0,,1,2014
300,ABC EXPRESS,1901 S ALAMEDA ST,LOS ANGELES,90058,4,30,+12137461494,3,2015-04-14,91.0,,1,2015
304,ABC EXPRESS CHINESE FOOD,1901 S ALAMEDA ST,LOS ANGELES,90058,4,30,+12137461494,3,2016-11-15,94.0,,0,2016
306,ABC RESTAURANT,708 NEW HIGH ST,LOS ANGELES,90012,1,151,+12136802887,3,2017-01-17,91.0,,0,2017
312,ABIGAIL BAKERY,2439 E CESAR E CHAVEZ AVE,LOS ANGELES,90023,1,30,+16262783332,2,2014-08-25,92.0,,1,2014
316,ABRAM FRIEDMAN OCCUP CNETER,1646 S OLIVE ST,LOS ANGELES,90015,1,151,+1nan,3,2016-10-17,95.0,,0,2016
319,ABSOLUTELY PHOBULOUS,350 N LA CIENEGA BLVD,LOS ANGELES,90048,1,30,+1nan,3,2016-08-05,90.0,,0,2016
322,ACA GRILL,1300 S SAN PEDRO ST,LOS ANGELES,90015,5,150,+12137650688,3,2016-11-03,85.0,,0,2016
323,ACA GRILL,3062 W 8TH ST,LOS ANGELES,90005,2,30,+12136747708,3,2016-12-07,95.0,,0,2016
328,ACAI NATION,11740 SAN VICENTE BLVD,LOS ANGELES,90049,4,30,+13104426655,1,2016-04-26,90.0,,0,2016
331,ACAPULCO RESTAURANT,4444 W SUNSET BLVD,LOS ANGELES,90027,1,151,+13236655751,3,2016-10-18,93.0,,0,2016
338,ACARBAR,1510 N STANLEY AVE,LOS ANGELES,90046,1,150,+13238761400,3,2013-09-03,96.0,,1,2013
355,ACHAS BAKERY,4438 S COMPTON AVE,LOS ANGELES,90011,1,30,+13232743867,2,2016-07-29,91.0,,0,2016
357,ACKEE BAMBOO JAMAICAN CUISIN,4305 DEGNAN BLVD,LOS ANGELES,90008,2,30,+1nan,3,2016-12-06,94.0,,0,2016
362,ADAMS LAS RANAS CAFE RESTAUR,5237 W ADAMS BLVD,LOS ANGELES,90016,1,60,+1nan,3,2016-12-13,95.0,,0,2016
363,ADAMS LAS RANAS CAFE RESTAURANT,5472 VALLEY BLVD,LOS ANGELES,90032,1,60,+13232240435,3,2016-08-22,94.0,,0,2016
367,ADAS TORAH,9040 W PICO BLVD,LOS ANGELES,90035,1,60,+13235566600,3,2016-11-08,93.0,,0,2016
368,ADASSAS ISLAND CAFE&ENTERTA,4305 DEGNAN BLVD,LOS ANGELES,90008,2,60,+1nan,2,2016-12-06,97.0,,0,2016
369,ADDIS ETHIOPIAN RESTAURANT,1025 S FAIRFAX AVE,LOS ANGELES,90019,3,60,+1nan,3,2013-10-30,92.0,,1,2013
370,ADDIS LA,1025 S FAIRFAX AVE,LOS ANGELES,90019,3,60,+13235288994,3,2015-11-17,91.0,,1,2015
372,ADDYS BAKERY,10960 S AVALON BLVD,LOS ANGELES,90061,1,30,+1nan,2,2016-12-01,91.0,,0,2016
381,ADOBO GRILL,4716 FOUNTAIN AVE,LOS ANGELES,90029,1,60,+13236657378,3,2016-12-12,91.0,,0,2016
383,ADOTECA,11712 SAN VICENTE BLVD,LOS ANGELES,90046,2,60,+13102933835,3,2016-02-17,96.0,,0,2016
386,ADU BURGES,8020 S VERMONT AVE,LOS ANGELES,90044,1,30,+13237512220,3,2016-11-29,93.0,,0,2016
404,AFC SUSHI @ RALPH#278,8701 LINCOLN BLVD,LOS ANGELES,90045,3,30,+13107488120,3,2016-12-15,100.0,,0,2016
432,AFFAIR WITH MY PLATE,11819 WILSHIRE BLVD,LOS ANGELES,90025,7,30,+13108046899,3,2016-09-01,90.0,,0,2016
441,AGAPE WJ,3680 WILSHIRE BLVD,LOS ANGELES,90010,12,30,+12138800828,2,2015-02-12,90.0,,1,2015
447,AGRA CAFE,4325 W SUNSET BLVD,LOS ANGELES,90029,1,150,+1nan,3,2016-12-05,90.0,,0,2016
462,AHGASSI GOPCHANG,3744 W 6TH ST,LOS ANGELES,90005,1,150,+12132499678,3,2016-12-08,92.0,,0,2016
465,AHI POKI,3782 S FIGUEROA ST,LOS ANGELES,90007,3,30,+12135365566,3,2016-12-14,97.0,,0,2016
468,AHIMAHI FISH GRILL,5650 MANCHESTER AVE,LOS ANGELES,90045,1,30,+1nan,2,2016-08-05,92.0,,0,2016
469,AHIPOKI BOWL,5553 W SUNSET BLVD,LOS ANGELES,90028,2,30,+19098618868,3,2016-11-08,97.0,,0,2016
472,AIRLINER,2419 N BROADWAY,LOS ANGELES,90031,1,150,+1nan,3,2017-01-11,92.0,,0,2017
480,AJISEN RAMEN,10250 SANTA MONICA BLVD,LOS ANGELES,90067,25,60,+1nan,3,2017-01-05,91.0,,0,2017
497,AKBAR,4356 W SUNSET BLVD,LOS ANGELES,90029,1,60,+1nan,1,2016-09-12,92.0,,0,2016
500,AKBAR MASHTI/MASHTI MALONS I,1525 N LA BREA AVE,LOS ANGELES,90028,2,30,+13238740144,2,2014-04-03,90.0,,1,2014
501,AKI RESTAURANT,11513 SANTA MONICA BLVD,LOS ANGELES,90025,1,150,+1nan,3,2017-01-05,90.0,,0,2017
502,AKI SUSHI & ROLL JAPANESE GR,5916 MONTEREY RD,LOS ANGELES,90042,1,30,+1nan,3,2016-06-29,90.0,,0,2016
507,AL AND BEAS RESTAURANT,2025 E 1ST ST,LOS ANGELES,90033,1,30,+1nan,2,2016-12-15,91.0,,0,2016
508,AL GELATO,806 S ROBERTSON BLVD,LOS ANGELES,90035,1,60,+1nan,3,2016-08-10,93.0,,0,2016
509,AL LAYALI,980 N LA CIENEGA BLVD,LOS ANGELES,90069,1,150,+13103600400,3,2016-03-15,90.0,,0,2016
513,AL WAZIR CHICKEN,6051 HOLLYWOOD BLVD,LOS ANGELES,90028,5,30,+1nan,3,2016-09-27,90.0,,0,2016
514,ALADDIN COFFEE SHOP,1150 S HOPE ST,LOS ANGELES,90015,1,30,+1nan,3,2016-12-06,80.0,,0,2016
519,ALADIN SWEETS & MARKET,139 S VERMONT AVE,LOS ANGELES,90004,1,60,+1nan,3,2016-12-12,90.0,,0,2016
521,ALAMEDA SNACK BAR,800 MCGARRY ST,LOS ANGELES,90021,1,30,+12135050645,1,2016-07-13,96.0,,0,2016
522,ALAMEDA SNACK SHOP,4501 S ALAMEDA ST,LOS ANGELES,90058,14,30,+1nan,2,2016-12-16,94.0,,0,2016
523,ALAMEDA STRIP,4209 S ALAMEDA ST,LOS ANGELES,90058,1,150,+18186254237,3,2013-08-01,89.0,,1,2013
560,ALBERTS MEXICAN FOOD,5189 ALHAMBRA AVE,LOS ANGELES,90032,2,30,+15627551270,3,2014-10-15,82.0,,1,2014
629,ALBITAS GRILL,2851 CRENSHAW BLVD,LOS ANGELES,90016,2,30,+1nan,3,2016-04-04,95.0,,0,2016
633,ALCOVE CAFE & BAKERY,1929 HILLHURST AVE,LOS ANGELES,90027,1,60,+1nan,3,2016-12-09,95.0,,0,2016
635,ALDEWANIA RESTAURANT,2528 S GRAND AVE,LOS ANGELES,90007,2,60,+12137457585,3,2016-11-22,90.0,,0,2016
636,ALDEWANIAH RESTAURANT AND MARKET,2528 GRAND AVE,LOS ANGELES,90007,1,60,+12137457585,3,2016-09-23,91.0,,0,2016
639,ALEGRIA  MEXICAN FOOD,3510 W SUNSET BLVD,LOS ANGELES,90026,2,30,+1nan,3,2014-12-22,92.0,,1,2014
641,ALEJANDRAS BAKERY,9715 S NORMANDIE AVE,LOS ANGELES,90044,1,30,+1nan,2,2016-07-25,92.0,,0,2016
642,ALEJANDRAS BAKERY,9816 S NORMANDIE AVE,LOS ANGELES,90044,1,30,+1nan,2,2014-10-31,94.0,,1,2014
643,ALEJOS PRESTO TRATTORIA,8343 LINCOLN BLVD,LOS ANGELES,90045,1,150,+1nan,3,2016-08-19,90.0,,0,2016
644,ALEJOS TAKE OUT,8335 S LINCOLN BLVD,LOS ANGELES,90045,1,30,+1nan,3,2016-10-20,98.0,,0,2016
649,ALEX BURGERS,4767 E OLYMPIC BLVD,LOS ANGELES,90022,1,30,+1nan,3,2017-01-12,90.0,,0,2017
653,ALEX SANDWICH,1242 S SANTEE ST,LOS ANGELES,90015,2,30,+12137470889,3,2016-11-03,85.0,,0,2016
654,ALEX SANDWICH SHOP,1242 S SANTEE ST,LOS ANGELES,90015,2,30,+1nan,3,2015-10-06,92.0,,1,2015
659,ALEXANDERS BRITE SPOT,1918 W SUNSET BLVD,LOS ANGELES,90026,1,150,+1nan,3,2016-09-27,97.0,,0,2016
669,ALFRED COFFEE & KITCHEN,8428 MELROSE PL,LOS ANGELES,90069,2,30,+13239440811,2,2016-07-19,92.0,,0,2016
671,ALFRED TEA ROOM,705 N ALFRED ST,LOS ANGELES,90069,1,30,+13109269236,2,2016-07-19,95.0,,0,2016
673,ALFREDOS,3337 1/2 SUNSET BLVD,LOS ANGELES,90026,1,30,+13235226984,2,2016-12-06,95.0,,0,2016
680,ALFREDOS MEXICAN FOOD,894 W MANCHESTER AVE,LOS ANGELES,90044,2,30,+1nan,3,2015-06-03,90.0,,1,2015
688,ALI BABA,320 W 9TH ST,LOS ANGELES,90015,1,30,+1nan,3,2016-09-27,92.0,,0,2016
690,ALIBI ROOM,12236 W WASHINGTON BLVD,LOS ANGELES,90066,1,150,+1nan,3,2016-07-20,94.0,,0,2016
694,ALIKIS GREEK TAVERNA,5862 ARBOR VITAE ST,LOS ANGELES,90045,1,60,+1nan,3,2016-12-06,90.0,,0,2016
695,ALIMENTO,1710 SILVER LAKE BLVD,LOS ANGELES,90026,1,60,+13108554599,3,2016-09-20,90.0,,0,2016
700,ALL ABOUT THE BREAD,7111 MELROSE AVE,LOS ANGELES,90046,2,30,+1nan,2,2016-07-12,92.0,,0,2016
702,ALL INDIA CAFE,12113 SANTA MONICA BLVD,LOS ANGELES,90025,1,60,+1nan,3,2016-10-17,100.0,,0,2016
706,ALL SEAS FISH MARKET,4320 S VERMONT AVE,LOS ANGELES,90037,1,30,+1nan,3,2017-01-03,95.0,,0,2017
708,ALL STAR FISH MARKET,7622 S CENTRAL AVE,LOS ANGELES,90001,1,30,+1nan,3,2016-12-13,97.0,,0,2016
709,ALL STAR LANES,4459 EAGLE ROCK BLVD,LOS ANGELES,90041,2,150,+1nan,1,2016-09-15,98.0,,0,2016
715,ALL-STAR PIZZA 8 LLC,3272 W SLAUSON AVE,LOS ANGELES,90043,3,30,+1nan,2,2016-11-03,90.0,,0,2016
716,ALLACQUA,3280 GLENDALE BLVD,LOS ANGELES,90039,1,60,+13236633280,3,2016-09-16,92.0,,0,2016
717,ALLANGOLO PIZZA & PASTA,4050 W 3RD ST,LOS ANGELES,90020,1,30,+12133687888,3,2016-12-15,95.0,,0,2016
718,ALLANS JUGOS,305 E 9TH ST,LOS ANGELES,90015,1,30,+12136283399,2,2016-12-16,90.0,,0,2016
719,ALLEY DOG,1001 S MAPLE AVE,LOS ANGELES,90015,1,30,+1nan,3,2016-10-25,95.0,,0,2016
720,ALLEY DOG N BURGER,317 E 12TH ST,LOS ANGELES,90015,1,30,+1nan,3,2016-12-06,94.0,,0,2016
721,ALLSTON YACHT CLUB,1320 ECHO PARK AVE,LOS ANGELES,90026,2,60,+13239358787,3,2014-01-21,95.0,,1,2014
723,ALMA,952 S BROADWAY,LOS ANGELES,90015,1,60,+12134440984,3,2015-06-05,95.0,,1,2015
726,ALMAZA,8905 VENICE BLVD,LOS ANGELES,90034,1,150,+1nan,3,2016-10-25,93.0,,0,2016
731,ALOHA CAFE,410 E 2ND ST,LOS ANGELES,90012,1,60,+1nan,3,2016-09-14,90.0,,0,2016
732,ALOHA CATERING SERVICES,686 N SPRING ST,LOS ANGELES,90012,3,60,+12138403317,3,2016-10-18,90.0,,0,2016
734,ALOHA HAWAIIAN,923 FOREST AVE,LOS ANGELES,90033,1,30,+13235062208,3,2013-08-23,90.0,,1,2013
760,ALTA CALIFORNIA FONDA,5303 W PICO BLVD,LOS ANGELES,90019,1,60,+13239310100,3,2016-12-28,91.0,,0,2016
762,ALTA-MED SENIOR CENTER,5425 E POMONA BLVD,LOS ANGELES,90022,1,30,+13237289855,1,2016-09-27,98.0,,0,2016
765,ALTITUDE 5TH FL KITCHEN,465 S LA CIENEGA BLVD,LOS ANGELES,90048,4,30,+13102670400,2,2016-01-22,98.0,,0,2016
766,ALTITUDE BAR,465 S LA CIENEGA BLVD,LOS ANGELES,90048,4,60,+13102670400,1,2016-01-22,98.0,,0,2016
767,ALVAREZ BAKERY,4125 CITY TERRACE DR,LOS ANGELES,90063,1,30,+1nan,2,2017-01-04,91.0,,0,2017
775,AMALFI,143 N LA BREA AVE,LOS ANGELES,90036,2,150,+1nan,3,2015-12-03,90.0,,1,2015
777,AMALIAS RESTAURANT,4210 BEVERLY BLVD,LOS ANGELES,90004,1,150,+13236441515,3,2016-10-06,92.0,,0,2016
778,AMALIAS RESTAURANTS,751 N VIRGIL AVE,LOS ANGELES,90029,1,150,+13236441515,3,2015-07-23,91.0,,1,2015
